StudyNumber,Country,SiteName,SiteID,RS_Paper,RS_Norm,Measure_Year,Measure_Season,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Tsoil(C),SoilMoisture(%),TimeLable,MiddleClimate,MiddleVegType,Meas_Method,Comments
320,USA,US-scruces  ,US-scr,12.486,0.081557,1980,Summer,7,9999,32.17,-106.45,15.726,,1,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,14.202,0.092766,1980,Summer,7,9999,32.17,-106.45,16.242,,1,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,86.77,0.566771,1980,Summer,7,9999,32.17,-106.45,50.492,,10,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,78.223,0.510943,1980,Summer,7,9999,32.17,-106.45,40.378,,10,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,55.324,0.36137,1980,Summer,7,9999,32.17,-106.45,54.335,,14,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,41.649,0.272046,1980,Summer,7,9999,32.17,-106.45,46.278,,14,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,33.939,0.221686,1980,Summer,7,9999,32.17,-106.45,53.3,,16,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,21.112,0.137901,1980,Summer,7,9999,32.17,-106.45,44.043,,17,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,45.351,0.296227,1980,Summer,7,9999,32.17,-106.45,23.592,,6,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,50.48,0.329729,1980,Summer,7,9999,32.17,-106.45,21.535,,6,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,167.681,1.095272,1980,Summer,7,9999,32.17,-106.45,40.264,,18,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,155.71,1.017079,1980,Summer,7,9999,32.17,-106.45,36.492,,19,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,120.548,0.787405,1980,Summer,7,9999,32.17,-106.45,42.785,,8,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,130.804,0.854396,1980,Summer,7,9999,32.17,-106.45,27.871,,8,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,135.68,0.886246,1980,Summer,7,9999,32.17,-106.45,29.284,,21,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,114.238,0.746189,1980,Summer,7,9999,32.17,-106.45,29.628,,21,B,GRA,Alkali absorption,
504,USA,Panoche  Creek,US-PAC,2.019,1.321,1986,Summer,8,226,36.23,-119.55,,,2,B,CRO,Gas chromatography,
504,USA,Panoche  Creek,US-PAC,1.097,0.7175,1986,Summer,8,226,36.23,-119.55,,,6,B,CRO,Gas chromatography,
504,USA,Panoche  Creek,US-PAC,1.355,0.886,1986,Summer,8,226,36.23,-119.55,,,10,B,CRO,Gas chromatography,
504,USA,Panoche  Creek,US-PAC,2.65,1.734,1986,Summer,8,226,36.23,-119.55,,,14,B,CRO,Gas chromatography,
504,USA,Panoche  Creek,US-PAC,2.805,1.836,1986,Summer,8,226,36.23,-119.55,,,18,B,CRO,Gas chromatography,
504,USA,Panoche  Creek,US-PAC,2.169,1.419,1986,Summer,8,226,36.23,-119.55,,,22,B,CRO,Gas chromatography,
