"Record_number","Study_number","Author","Site_name","YearsOfData","Latitude","Longitude","Elevation","Manipulation","Manipulation_level","Age_ecosystem","Age_disturbance","Species","Biome","Ecosystem_type","Ecosystem_state","MAT","MAP","PET","Study_temp","Study_precip","Meas_method","Meas_interval","Annual_coverage","Partition_method","Rs_annual","Rs_annual_err","Rs_wet","Rs_dry","RC_seasonal","RC_season","Model_type","Temp_effect","Model_output_units","Model_temp_min","Model_temp_max","Model_N","Model_R2","T_depth","Model_paramA","Model_paramB","Model_paramC","Model_paramD","Model_paramE","WC_effect","R10","Lat_Round","Long_Round","MAP_Del","MAT_Del","PAnnual_Del","TAnnual_Del","Year","PRECIP_SD","TAIR_SD","SPI","Study_TS_Annual","TS_Flag","Annual_TS_Coverage","TS_Source","TAIR1","TAIR2","TAIR3","TAIR4","TAIR5","TAIR6","TAIR7","TAIR8","TAIR9","TAIR10","TAIR11","TAIR12","Rs1","Rs2","Rs3","Rs4","Rs5","Rs6","Rs7","Rs8","Rs9","Rs10","Rs11","Rs12","Rs_bahn_Jan","Rs_bahn_Feb","Rs_bahn_Mar","Rs_bahn_Apr","Rs_bahn_May","Rs_bahn_Jun","Rs_bahn_Jul","Rs_bahn_Aug","Rs_bahn_Sep","Rs_bahn_Oct","Rs_bahn_Nov","Rs_bahn_Dec"
2738,3683,"Yan","Dinghushan Biosphere Reserve",1,23.18,112.54,250,"None","",NA,55,"Pinus massoniana","Subtropical","Forest","Natural",20.9,1956,NA,NA,NA,"Gas chromatography",7,1,"",578,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",15,33,NA,0.81,5,0.195,0.088,0,NA,NA,"Positive",NA,23.25,112.75,1715.28,21.99,1435.9,22.23,2004,284.431,0.362,-0.982,25,"",1,"Figure 2",12.5,15.4,16.9,23,25.6,28.7,28.1,29.1,27.7,23.2,20.6,16,1.696,1.553,1.996,2.473,NA,NA,NA,NA,NA,NA,NA,NA,266.243343428326,344.119436245798,392.957551860622,674.114727657393,848.470940075754,1116.22636177256,1058.51666613751,1156.43703472019,1021.71079932958,686.149377516283,545.14937272381,362.880622123312
2739,3683,"Yan","Dinghushan Biosphere Reserve",1,23.18,112.54,260,"None","",NA,100,"Castanopsis chinensis; Pinus massoniana; Schima superba","Subtropical","Forest","Natural",20.9,1956,NA,NA,NA,"Gas chromatography",7,1,"",1001,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",8,32,NA,0.86,5,0.423,0.087,0,NA,NA,"Positive",1.01,23.25,112.75,1715.28,21.99,1435.9,22.23,2004,284.431,0.362,-0.982,23,"",1,"Figure 2",12.5,15.4,16.9,23,25.6,28.7,28.1,29.1,27.7,23.2,20.6,16,1.696,1.553,1.996,2.473,NA,NA,NA,NA,NA,NA,NA,NA,572.720290396685,738.085645098456,841.566106212571,1434.87117140048,1801.27824530269,2362.34065183898,2241.55775196168,2446.45698456413,2164.48645298675,1460.1935992479,1163.16826991503,777.856257519567
2740,3683,"Yan","Dinghushan Biosphere Reserve",1,23.18,112.54,260,"None","",NA,400,"Cryptocarya concinna; Machilus chinensis; Cryptocarya chinensis","Subtropical","Forest","Natural",20.9,1956,NA,NA,NA,"Gas chromatography",7,1,"",1586,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",12,28,NA,0.9,5,0.772,0.082,0,NA,NA,"Positive",1.75,23.25,112.75,1715.28,21.99,1435.9,22.23,2004,284.431,0.362,-0.982,22.5,"",1,"Figure 2",12.5,15.4,16.9,23,25.6,28.7,28.1,29.1,27.7,23.2,20.6,16,1.696,1.553,1.996,2.473,NA,NA,NA,NA,NA,NA,NA,NA,984.782717943327,1250.75812433497,1415.40267549942,2340.38430065828,2899.8715036824,3744.31656229368,3563.60768694781,3869.85185882533,3448.00673786154,2379.29376662397,1920.24431806367,1314.18348252076
2741,3676,"Wu","Dagou",1,31.7,103.87,1987,"None","",NA,25,"Pinus tabulaeformis","Temperate","Forest","Managed",8.9,900,NA,NA,NA,"IRGA",30,0.42,"",435,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",10,21,NA,0.83,5,0.69,0.052,0,NA,NA,"Negative",1.16,31.75,103.75,892.86,5.19,943.2,5.15,2005,107.528,0.656,0.468,8.95,"TAIR_7",0.42,"MGRsD and TAIR_Del",-5.3,-3.8,1.2,6.7,9.8,13.3,14.4,12.7,11.6,5.6,0.7,-5.1,NA,NA,NA,1.446,NA,NA,2.322,NA,NA,1.394,NA,NA,237.911427618327,257.31979543028,334.194664666567,445.531544579571,523.919754088484,629.11956843798,666.360097621564,609.691353678478,575.61784187805,420.632348863405,325.571875044397,240.412118600237
2742,3676,"Wu","Dagou",1,31.7,103.87,1987,"None","",NA,NA,"Quercus aliena","Temperate","Forest","Natural",8.9,900,NA,NA,NA,"IRGA",30,0.42,"",458,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","umol CO2/m2/s",10,24,NA,0.76,5,0.35,0.109,0,NA,NA,"Negative",1.04,31.75,103.75,892.86,5.19,943.2,5.15,2005,107.528,0.656,0.468,8.95,"TAIR_7",0.42,"MGRsD and TAIR_Del",-5.3,-3.8,1.2,6.7,9.8,13.3,14.4,12.7,11.6,5.6,0.7,-5.1,NA,NA,NA,1.446,NA,NA,2.322,NA,NA,1.394,NA,NA,88.7428953574383,104.598192654159,180.922592282119,330.566078032629,464.300156847409,681.360362488923,768.65235474905,637.999929498339,565.545477802926,293.025346716577,171.275774327744,90.7094093177934
2746,3561,"Saiz","Dooary 1",1,52.95,-7.25,260,"None","",10,10,"Picea sitchensis","Temperate","Forest","Natural",9.3,804,NA,9.5,772,"IRGA",30,1,"Exclusion",991,146,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg C/m2/hr",3,14,NA,0.77,2,20.84,0.154,0,NA,NA,"",2.24,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,"",1,"MGRsD",5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163,482.409131289362,497.581267048176,699.515822871348,938.768072078938,1130.44469999553,1855.34788048616,2528.77606048856,2906.89021500319,1743.92718889217,896.160005061003,710.430819547487,554.541149484904
2747,3561,"Saiz","Dooary 2",1,52.95,-7.25,260,"None","",15,15,"Picea sitchensis","Temperate","Forest","Natural",9.3,804,NA,9.5,772,"IRGA",30,1,"Exclusion",686,109,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg C/m2/hr",3,14,NA,0.66,2,21.96,0.126,0,NA,NA,"",1.8,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,"",1,"MGRsD",5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163,440.474491316467,451.776963842895,596.981124251636,759.437672813798,884.121710944102,1326.06609542505,1708.43464030778,1914.75541958136,1260.54551570679,731.117463207987,604.591809465787,493.66882380915
2748,3561,"Saiz","Dooary 3",1,52.95,-7.25,260,"None","",31,31,"Picea sitchensis","Temperate","Forest","Natural",9.3,804,NA,9.5,772,"IRGA",30,1,"Exclusion",556,83,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg C/m2/hr",3,14,NA,0.56,2,17.11,0.136,0,NA,NA,"",1.55,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,"",1,"MGRsD",5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163,360.762838374842,370.764713139886,500.888411646163,649.484327053123,765.293932125291,1185.36979126922,1558.18796627766,1762.2379187205,1122.27853622805,623.381309313227,507.784317225518,408.005944859221
2749,3561,"Saiz","Cullenagh",1,52.95,-7.25,260,"None","",47,47,"Picea sitchensis","Temperate","Forest","Natural",9.3,804,NA,9.5,772,"IRGA",30,1,"Exclusion",564,91,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","mg C/m2/hr",3,14,NA,0.79,2,13.85,0.144,0,NA,NA,"",1.36,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,"",1,"MGRsD",5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163,303.907023033713,312.835448714393,430.173256376477,566.380146307622,673.843986001171,1070.93451987772,1430.58986232921,1629.68491159056,1010.67720923632,542.306971579837,436.446503246797,346.201733289282
2753,2354,"Lee","",1,30.83,-87.18,NA,"None","",NA,7,"Platanus occidentalis","Temperate","Forest","Managed",NA,NA,NA,NA,NA,"Soda lime",30,1,"",655,NA,NA,NA,NA,"","Exponential, R=a exp(b(T-c))","Positive","g CO2/m2/day",7,26,NA,0.53,12,2.57,0.04,0,NA,NA,"None",1.01,30.75,-87.25,1551.14,19.64,1549.8,19.68,2002,291.593,0.531,-0.005,17.85,"",1,"Figure 1",11.4,10.7,15.1,21.1,23.6,26.3,27.4,27.1,26.4,22.7,13.8,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.329412445088,472.829565859476,564.356078803954,718.367587020716,794.347797679154,885.457621389316,925.507464804846,914.408490426187,889.025747738939,766.110946235818,535.609096634518,470.931852956206
