Record_number,Study_number,Author,Site_name,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual,TS_Flag,Annual_TS_Coverage,TS_Source,TAIR1,TAIR2,TAIR3,TAIR4,TAIR5,TAIR6,TAIR7,TAIR8,TAIR9,TAIR10,TAIR11,TAIR12,Rs1,Rs2,Rs3,Rs4,Rs5,Rs6,Rs7,Rs8,Rs9,Rs10,Rs11,Rs12
2738,3683,Yan,Dinghushan Biosphere Reserve,1,23.18,112.54,250,None,,,55,Pinus massoniana,Subtropical,Forest,Natural,20.9,1956,,,,Gas chromatography,7,1,,578,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,15,33,,0.81,5,0.195,0.088,0,,,Positive,,23.25,112.75,1715.28,21.99,1435.9,22.23,2004,284.431,0.362,-0.982,25,,1,Figure 2,12.5,15.4,16.9,23,25.6,28.7,28.1,29.1,27.7,23.2,20.6,16,1.696,1.553,1.996,2.473,,,,,,,,
2739,3683,Yan,Dinghushan Biosphere Reserve,1,23.18,112.54,260,None,,,100,Castanopsis chinensis; Pinus massoniana; Schima superba,Subtropical,Forest,Natural,20.9,1956,,,,Gas chromatography,7,1,,1001,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,32,,0.86,5,0.423,0.087,0,,,Positive,1.01,23.25,112.75,1715.28,21.99,1435.9,22.23,2004,284.431,0.362,-0.982,23,,1,Figure 2,12.5,15.4,16.9,23,25.6,28.7,28.1,29.1,27.7,23.2,20.6,16,1.696,1.553,1.996,2.473,,,,,,,,
2740,3683,Yan,Dinghushan Biosphere Reserve,1,23.18,112.54,260,None,,,400,Cryptocarya concinna; Machilus chinensis; Cryptocarya chinensis,Subtropical,Forest,Natural,20.9,1956,,,,Gas chromatography,7,1,,1586,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,12,28,,0.9,5,0.772,0.082,0,,,Positive,1.75,23.25,112.75,1715.28,21.99,1435.9,22.23,2004,284.431,0.362,-0.982,22.5,,1,Figure 2,12.5,15.4,16.9,23,25.6,28.7,28.1,29.1,27.7,23.2,20.6,16,1.696,1.553,1.996,2.473,,,,,,,,
2741,3676,Wu,Dagou,1,31.7,103.87,1987,None,,,25,Pinus tabulaeformis,Temperate,Forest,Managed,8.9,900,,,,IRGA,30,0.42,,435,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,10,21,,0.83,5,0.69,0.052,0,,,Negative,1.16,31.75,103.75,892.86,5.19,943.2,5.15,2005,107.528,0.656,0.468,8.95,TAIR_7,0.42,MGRsD and TAIR_Del,-5.3,-3.8,1.2,6.7,9.8,13.3,14.4,12.7,11.6,5.6,0.7,-5.1,,,,1.446,,,2.322,,,1.394,,
2742,3676,Wu,Dagou,1,31.7,103.87,1987,None,,,,Quercus aliena,Temperate,Forest,Natural,8.9,900,,,,IRGA,30,0.42,,458,,,,,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,10,24,,0.76,5,0.35,0.109,0,,,Negative,1.04,31.75,103.75,892.86,5.19,943.2,5.15,2005,107.528,0.656,0.468,8.95,TAIR_7,0.42,MGRsD and TAIR_Del,-5.3,-3.8,1.2,6.7,9.8,13.3,14.4,12.7,11.6,5.6,0.7,-5.1,,,,1.446,,,2.322,,,1.394,,
2746,3561,Saiz,Dooary 1,1,52.95,-7.25,260,None,,10,10,Picea sitchensis,Temperate,Forest,Natural,9.3,804,,9.5,772,IRGA,30,1,Exclusion,991,146,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,3,14,,0.77,2,20.84,0.154,0,,,,2.24,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,,1,MGRsD,5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163
2747,3561,Saiz,Dooary 2,1,52.95,-7.25,260,None,,15,15,Picea sitchensis,Temperate,Forest,Natural,9.3,804,,9.5,772,IRGA,30,1,Exclusion,686,109,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,3,14,,0.66,2,21.96,0.126,0,,,,1.8,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,,1,MGRsD,5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163
2748,3561,Saiz,Dooary 3,1,52.95,-7.25,260,None,,31,31,Picea sitchensis,Temperate,Forest,Natural,9.3,804,,9.5,772,IRGA,30,1,Exclusion,556,83,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,3,14,,0.56,2,17.11,0.136,0,,,,1.55,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,,1,MGRsD,5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163
2749,3561,Saiz,Cullenagh,1,52.95,-7.25,260,None,,47,47,Picea sitchensis,Temperate,Forest,Natural,9.3,804,,9.5,772,IRGA,30,1,Exclusion,564,91,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,3,14,,0.79,2,13.85,0.144,0,,,,1.36,52.75,-7.25,918.78,9.52,843.2,10.03,2003,141.414,0.561,-0.534,9.722,,1,MGRsD,5.1,5.3,7.5,9.4,10.6,13.8,15.8,16.7,13.4,9.1,7.6,6,0.918,1.096,1.486,1.133,2.689,2.265,3.678,3.368,2.419,1.676,1.825,1.163
2753,2354,Lee,,1,30.83,-87.18,,None,,,7,Platanus occidentalis,Temperate,Forest,Managed,,,,,,Soda lime,30,1,,655,,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/day,7,26,,0.53,12,2.57,0.04,0,,,None,1.01,30.75,-87.25,1551.14,19.64,1549.8,19.68,2002,291.593,0.531,-0.005,17.85,,1,Figure 1,11.4,10.7,15.1,21.1,23.6,26.3,27.4,27.1,26.4,22.7,13.8,10.6,,,,,,,,,,,,
