Country,SiteID,SiteName,StudyNumber,Measure_Year,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Latitude,Longitude,RS_Paper,RS_Norm,Tsoil(C),SoilMoisture(%),Meas_Method,IGBP_FromPaper,Ecosystem_type,Leaf_habit,DOY_Frequency,Tm,Comments
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1965,10,274,45.5,-93.17,45.75,-93.25,0.415,2.619,5.389,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1965,10,274,45.5,-93.17,45.75,-93.25,0.396,2.499,5.389,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1965,10,274,45.5,-93.17,45.75,-93.25,0.371,2.341,5.389,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1965,10,287,45.5,-93.17,45.75,-93.25,0.37,2.335,4.393,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1965,10,287,45.5,-93.17,45.75,-93.25,0.296,1.868,4.393,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1965,10,287,45.5,-93.17,45.75,-93.25,0.331,2.089,4.393,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1965,10,298,45.5,-93.17,45.75,-93.25,0.282,1.779,4.256,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1965,10,298,45.5,-93.17,45.75,-93.25,0.246,1.552,4.256,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1965,10,298,45.5,-93.17,45.75,-93.25,0.246,1.552,4.256,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1965,10,304,45.5,-93.17,45.75,-93.25,0.367,2.316,3.987,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1965,10,304,45.5,-93.17,45.75,-93.25,0.225,1.42,3.987,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1965,10,304,45.5,-93.17,45.75,-93.25,0.246,1.552,3.987,,IRGA,DBF,Forest,Deciduous,12,9.7,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,4,94,45.5,-93.17,45.75,-93.25,0.192,1.211,0.516,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,4,94,45.5,-93.17,45.75,-93.25,0.135,0.852,0.516,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,4,94,45.5,-93.17,45.75,-93.25,0.094,0.593,0.516,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,4,102,45.5,-93.17,45.75,-93.25,0.159,1.003,0.783,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,4,102,45.5,-93.17,45.75,-93.25,0.159,1.003,0.783,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,4,102,45.5,-93.17,45.75,-93.25,0.191,1.205,0.783,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,4,109,45.5,-93.17,45.75,-93.25,0.213,1.344,1.077,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,4,109,45.5,-93.17,45.75,-93.25,0.248,1.565,1.077,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,4,109,45.5,-93.17,45.75,-93.25,0.248,1.565,1.077,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,4,115,45.5,-93.17,45.75,-93.25,0.215,1.357,1.666,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,4,115,45.5,-93.17,45.75,-93.25,0.215,1.357,1.666,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,4,115,45.5,-93.17,45.75,-93.25,0.245,1.546,1.666,,IRGA,DBF,Forest,Deciduous,12,4.4,GMC co2/m2/hr to C/m2/hr
