Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,Lat_Adj,Long_Adj,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual,TAnnual_Del
112,00:00.0,68,Kucera,NA,,BBL,USA,Missouri,UM Prairie Station,1969,1.8,38.95,-91.94,NA,None,,NA,NA,Andropogon gerardi; Andropogon scoparius,Temperate,Grassland,Natural,Deciduous,Aggrading,,Dry,NA,NA,NA,NA,NA,12.8,1000,NA,NA,NA,IRGA,2.5,1,Subtraction,457,NA,NA,NA,NA,NA,NA,NA,183,274,0.4,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential (ln2), ln(R)=a+b ln(T-c)",Positive,mg CO2/m2/hr,-3,39,NA,0.89,5,-1.66,2.2,-10,NA,NA,,3.21,4.59,3.08,2.44,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.05,-0.06,38.75,-91.75,987.89,12.78,1296.5,12.06,1969,207.237,0.701,1.489,10.051,12.06
3313,00:00.0,77,Froment,NA,Q01,BBL,Belgium,,Blois de Blaimont,1967,3,50.07,4.36,245,None,,NA,NA,Fagus sylvatica; Carpinus betulus; Quercus robur,Temperate,Forest,Unmanaged,Deciduous,Aggrading,,Dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alkali absorption,30,1,,160,NA,NA,1,275,0.1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/day,2,12,NA,0.58,10,654.18,165.7,0,NA,NA,Positive,0.61,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rs_annual estimated from figure,-0.07,-0.36,50.25,4.25,898.43,9.06,844.6,9.26,1967,142.637,0.762,-0.377,9.198,9.26
1651,00:00.0,267,Gupta,NA,,BBL,India,,Kurukshetra,1975.5,1,29.97,76.18,250,None,,NA,NA,Mix,Tropical,Grassland,Natural,Deciduous,Mature,Alluvial,Dry,NA,NA,NA,NA,NA,24.5,661,NA,NA,NA,Soda lime,10,1,Comparison,470,NA,NA,NA,NA,NA,NA,NA,197,273,0.42,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,15,35,NA,0.69,-200,-7.8,8.77,0,NA,NA,Positive,NA,NA,NA,NA,NA,1.6,15,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.03,-0.18,29.75,76.25,507.49,24.45,668,24.35,1976,164.558,0.43,0.975,23.493,24.35
141,00:00.0,316,Nakane 1983,NA,,BBL,Japan,,Fuchu,1980,1,34.38,132.45,NA,None,,NA,80,Pinus densiflora,Temperate,Forest,Unmanaged,Evergreen,Mature,Sandy loam,Dry,NA,NA,NA,NA,NA,15,1544,NA,NA,NA,KOH trap,15,1,Comparison,1299,NA,NA,NA,NA,NA,NA,NA,525,774,0.4,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,4,30,NA,NA,NA,133,0.09,0,NA,NA,,2.06,2.45,2.45,2.45,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7695,NA,845,NA,NA,NA,NA,,-0.38,-0.45,34.25,132.25,1455.51,16.09,1971.3,15.21,1980,259.858,0.471,0.05,13.719,15.21
1655,00:00.0,395,Mathes,NA,Q01,BBL,Germany,,Bremen rubble dump,1984,2.5,53.17,8.08,NA,None,,NA,3,Grasses (mix),Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,NA,13,NA,NA,NA,8.5,954,NA,NA,NA,IRGA,14,1,,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T^2)",Positive,mg CO2/m2/hr,0,21,NA,NA,5,11,0.42,NA,NA,NA,None,0.31,24.67,7.84,3.88,9.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated from figure in text; heavily disturbed site,-0.17,-0.08,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064,10.931,8.34
1656,00:00.0,395,Mathes,NA,Q01,BBL,Germany,,Bremen rubble dump,1984,2.5,53.17,8.08,NA,None,,NA,3,Lotus corniculatus,Temperate,Agriculture,Managed,Deciduous,Aggrading,,Dry,NA,13,NA,NA,NA,8.5,954,NA,NA,NA,IRGA,14,1,,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T^2)",Positive,mg CO2/m2/hr,0,21,NA,NA,5,31,0.58,NA,NA,NA,None,0.37,3.63,4.18,3.17,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated from figure in text; heavily disturbed site,-0.17,-0.08,53.25,8.25,713.27,9.12,721.1,8.34,1984,122.626,0.837,0.064,10.931,8.34
2474,00:00.0,447,Rajvanshi,NA,,BBL,India,,Kurukshetra,1979.5,1.5,29.97,76.18,NA,None,,NA,NA,Dalbergia sissoo,Tropical,Forest,Natural,Deciduous,Mature,,Dry,NA,NA,NA,NA,NA,24.5,661,NA,NA,NA,Alkali absorption,7,1,,683,NA,NA,4.08,225,0.71,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Linear, R=a+b(T-c)",Mixed,mg CO2/m2/hr,10,38,NA,0.29,NA,-174.92,21.66,0,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.03,-0.18,29.75,76.25,507.49,24.45,483.4,24.88,1980,164.558,0.43,-0.146,25.673,24.88
114,00:00.0,1078,Lamade,NA,,BBL,Benin,,Ouidah,1993,1,6.38,2.13,NA,None,,NA,20,Elaeis guineensis,Tropical,Forest,Managed,Evergreen,Mature,Ferrasol,Dry,1.5,NA,NA,NA,NA,27,950,NA,NA,NA,IRGA,0.04,0.08,Extraction,1610,NA,NA,NA,NA,NA,NA,NA,1111,499,0.69,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,20,33,11,0.76,15,0.62,0.07,0,NA,NA,,NA,NA,NA,2,NA,2,20,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-0.38,-0.13,6.25,2.25,898.23,26.96,716.4,26.98,1993,225.756,0.391,-0.02,24.568,26.98
557,00:00.0,1292,Davidson,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-NW20,1995.5,1,42.53,-72.18,340,None,,NA,60,Mixed hardwood,Temperate,Forest,Natural,Deciduous,Mature,Canton fsl,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,30,0.42,,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,NA,0.8,10,21.13,0.137,0,NA,NA,Mixed,1.93,3.5,3.5,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,6.72
558,00:00.0,1292,Davidson,NA,,BBL,USA,Massachusetts,Harvard Forest-Prospect Hill-NW150,1995.5,1,42.53,-72.18,340,None,,NA,60,Tsuga canadensis,Temperate,Forest,Natural,Evergreen,Mature,Scituate fsl,Dry,NA,NA,NA,NA,NA,8.5,1050,NA,NA,NA,IRGA,30,0.42,,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,2,20,NA,0.8,10,21.13,0.137,0,NA,NA,Mixed,1.93,5.6,5.6,5.6,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.47,0.18,42.75,-72.25,1077.37,7.47,1331,6.72,1996,167.449,0.73,1.515,8.062,6.72
