Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,Lat_Adj,Long_Adj,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI
797,00:00.0,66,Kirita,,,BBL,Japan,,Minamata,1970,1,34.75,135.25,475,None,,,,Quercus spp.,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,15.2,1455,,,,Soda lime,30,1,,1054,,,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,25,,,0,117,0.105,0,,,Positive,1.89,2.9,2.9,2.9,2.9,,,,,,,,,,,,,,,,,,,,55.1,,,,,,,,,,0.25,-0.25,34.75,135.25,1846.03,13.11,1809,12.57,1970,221.92,0.714,-0.167
798,00:00.0,66,Kirita,,,BBL,Japan,,Nara,1964,1,34.69,135.83,590,None,,,,Quercus spp.,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,16.1,2345,,,,Soda lime,30,1,,1272,,,,,,,442,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,25,,,0,117,0.105,0,,,Positive,2.21,2.9,2.9,2.9,2.9,,,,,,,,,,,,,,,,,,,,57.1,,,,,,,,,,0.31,0.17,34.75,135.75,1391.17,14.77,1106.5,14.63,1964,217.54,0.524,-1.309
799,00:00.0,66,Kirita,,,BBL,Japan,,Nara,1966.5,1,34.69,135.83,590,None,,,,Quercus spp.,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,16.1,2345,,,,Soda lime,30,1,,1556,,,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,2,25,,,0,117,0.105,0,,,Positive,2.21,2.9,2.9,2.9,2.9,,,,,,,,,,,,,,,,,,,,57.1,,,,,,,,,,0.31,0.17,34.75,135.75,1391.17,14.77,1483.1,14.53,1967,217.54,0.524,0.423
112,00:00.0,68,Kucera,,,BBL,USA,Missouri,UM Prairie Station,1969,1.8,38.95,-91.94,,None,,,,Andropogon gerardi; Andropogon scoparius,Temperate,Grassland,Natural,Deciduous,Aggrading,,Dry,,,,,,12.8,1000,,,,IRGA,2.5,1,Subtraction,457,,,,,,,,183,274,0.4,,,,,,,,,,"Exponential (ln2), ln(R)=a+b ln(T-c)",Positive,mg CO2/m2/hr,-3,39,,0.89,5,-1.66,2.2,-10,,,,3.21,4.59,3.08,2.44,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,-0.06,38.75,-91.75,987.89,12.78,1296.5,12.06,1969,207.237,0.701,1.489
3313,00:00.0,77,Froment,,Q01,BBL,Belgium,,Blois de Blaimont,1967,3,50.07,4.36,245,None,,,,Fagus sylvatica; Carpinus betulus; Quercus robur,Temperate,Forest,Unmanaged,Deciduous,Aggrading,,Dry,,,,,,,,,,,Alkali absorption,30,1,,160,,,1,275,0.1,45,,,,,,,,,,,,,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/day,2,12,,0.58,10,654.18,165.7,0,,,Positive,0.61,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rs_annual estimated from figure,-0.07,-0.36,50.25,4.25,898.43,9.06,844.6,9.26,1967,142.637,0.762,-0.377
3261,00:00.0,90,De Santo,,,BBL,Italy,,Monte Taburno,1972.5,1,41.13,14.65,1100,None,,,,Fagus sylvatica,Temperate,Forest,Natural,Deciduous,Mature,Brown earth,Dry,,,,,,7.9,2166,,,,Alkali absorption,30,1,,792,,,1.26,200,0.24,40,,,,,,,,,,,,,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,1,15,,,5,49.72,7.06,0,,,Negative,0.76,2.42,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,0.35,41.25,14.75,788.68,13.57,782.9,13.2,1973,146.243,0.656,-0.04
2462,00:00.0,109,Edwards,,,BBL,USA,Tennessee,Oak Ridge,1971,1,35.99,-84.29,,None,,,50,Liriodendron tulipifera,Temperate,Forest,Natural,Deciduous,Mature,Emory cherty silt loam,Dry,,,,,,13.3,1265,,,,IRGA,14,1,Extraction,1070,,,6.72,250,,,229,,,,,,,,,,,,,"Power, R=c T^2",Positive,g CO2/m2/day,-1,26,,0.94,0,0,0,0.044,,,,1.17,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.29,35.75,-84.25,1319.73,14.83,1338.5,15.02,1971,209.974,0.633,0.089
2417,00:00.0,142,Tesarova,,Q01,BBL,Czechoslovakia,,Lanzhot,1971,2,48.67,16.25,,None,,,,Alopecurus pratensis,Temperate,Grassland,Natural,Deciduous,Mature,,Dry,,,,,,9.3,709,,,,Soda lime,30,1,,830,,,,,,,,,,,,,,,,,,,,"Exponential (log1), log(R)=a+b(T-c)",Positive,g CO2/m2/day,8,22,,0.73,,0.324,0.041,0,,,Positive,1.43,,2.57,2.57,,,,,,,,,,,,425,,,,,,,,,,,,645,,,,,,Estimated from figure in text.,0.33,-0.25,48.75,16.25,523.79,8.75,409.7,8.42,1971,82.973,0.743,-1.375
3311,00:00.0,143,De Santo,,,BBL,Italy,,Monte Taburno,1973,1.5,41.13,14.65,1100,None,,,90,Fagus sylvatica,Temperate,Forest,Unmanaged,Deciduous,Mature,,Dry,,,,,,7.9,2166,,,1959,Alkali absorption,15,1,,296,,,,,,,26,,,,,,,,,,,,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,0,15,,0.68,5,61.27,7.04,0,,,Negative,0.83,2.15,1.73,,,,,,,,,,,,,,,,,538.5,,,,,,,,,,,,,,,-0.13,0.35,41.25,14.75,788.68,13.57,782.9,13.2,1973,146.243,0.656,-0.04
3312,00:00.0,143,De Santo,,,BBL,Italy,,Monte Taburno,1973,1.5,41.13,14.65,1.00E+03,None,,,70,Fagus sylvatica; Abies alba,Temperate,Forest,Unmanaged,Mixed,Mature,,Dry,,,,,,7.9,2166,,,1959,Alkali absorption,15,1,,333,,,,,,,17,,,,,,,,,,,,,"Linear, R=a+b(T-c)",Positive,mg CO2/m2/hr,0,15,,0.86,5,60.12,9.84,0,,,Negative,1,2.64,1.9,,,,,,,,,,,,,,,,,441.5,,,,,,,,,,,,,,,-0.13,0.35,41.25,14.75,788.68,13.57,782.9,13.2,1973,146.243,0.656,-0.04
